"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6","stop_PC5","feasible"
"2652","2544R",51.99096,4.460542,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544S","2597",52.0416822739541,4.25091669844794,52.10758,4.313337,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2597","2544S",52.10758,4.313337,52.0416822739541,4.25091669844794,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544S","2573",52.0416822739541,4.25091669844794,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2573","2544S",52.06537,4.284134,52.0416822739541,4.25091669844794,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544M","2641",52.0396112782528,4.25129396965672,52.01597,4.434602,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2641","2544M",52.01597,4.434602,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544M","2521",52.0396112782528,4.25129396965672,52.06328,4.318427,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2521","2544M",52.06328,4.318427,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544M","2713",52.0396112782528,4.25129396965672,52.05438,4.484199,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2713","2544M",52.05438,4.484199,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544G","2291",52.0425265562463,4.25954339365026,52.01948,4.277017,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2291","2544G",52.01948,4.277017,52.0425265562463,4.25954339365026,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","2525",52.0485769204117,4.25873629594925,52.06238,4.303305,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2544X",52.06238,4.303305,52.0485769204117,4.25873629594925,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","2914",52.0485769204117,4.25873629594925,51.97679,4.621772,1,0,95.7,33.4,23.4,25,13.8,2,46.6,2.4,7.2,37,"2544WB","2544W",1
"2914","2544X",51.97679,4.621772,52.0485769204117,4.25873629594925,0,1,111.8,52,19.6,26,14.1,2,47.1,3.7,6.4,37,"2545CG","2545C",1
"2544K","5171",52.0441502180298,4.25828520254179,51.65595,5.047381,1,0,165.8,45.4,31.6,59,29.8,3,108.5,3.3,17.6,87.5,"2543SW","2543S",1
"5171","2544K",51.65595,5.047381,52.0441502180298,4.25828520254179,0,1,153.1,31.4,47.9,57,16.8,4,114.7,2.1,22.9,89.8,"2546AD","2546A",1
"2544R","2284",52.0399609296029,4.25012156605765,52.04115,4.313038,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2284","2544R",52.04115,4.313038,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2512","2544R",52.07346,4.304762,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","2583",52.0485769204117,4.25873629594925,52.09254,4.256884,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2583","2544X",52.09254,4.256884,52.0485769204117,4.25873629594925,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542J","2713",52.0385335010829,4.25810585554739,52.05438,4.484199,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2713","2542J",52.05438,4.484199,52.0385335010829,4.25810585554739,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542J","2564",52.0385335010829,4.25810585554739,52.06811,4.258003,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2641",52.0454790140349,4.25995965447312,52.01597,4.434602,1,0,74.6,25.2,32.4,4,13.1,3,17.7,1.6,11.6,4.5,"2545JT","2545J",1
"2641","2544V",52.01597,4.434602,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2641","2542J",52.01597,4.434602,52.0385335010829,4.25810585554739,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2713",52.0454790140349,4.25995965447312,52.05438,4.484199,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2713","2544V",52.05438,4.484199,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2584","2544L",52.10258,4.279296,52.0351167857076,4.25190836738485,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2521","2544J",52.06328,4.318427,52.0450156297235,4.25830282422894,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544S","2641",52.0416822739541,4.25091669844794,52.01597,4.434602,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2641","2544S",52.01597,4.434602,52.0416822739541,4.25091669844794,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542J","2553",52.0385335010829,4.25810585554739,52.04493,4.221591,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544T","2573",52.043708831961,4.25562360610011,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2573","2544T",52.06537,4.284134,52.043708831961,4.25562360610011,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544G","2514",52.0425265562463,4.25954339365026,52.08523,4.308987,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544G","2132",52.0425265562463,4.25954339365026,52.2958,4.70623,1,0,78,28.8,15.6,28,5.5,2,44.8,1.9,5.8,37,"2543SW","2543S",1
"2132","2544G",52.2958,4.70623,52.0425265562463,4.25954339365026,0,1,87.7,15.6,25.3,38,8.8,2,44.9,1.1,8.4,35.4,"2543BG","2543B",1
"2544G","2553",52.0425265562463,4.25954339365026,52.04493,4.221591,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2553","2544G",52.04493,4.221591,52.0425265562463,4.25954339365026,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2132","2545G",52.2958,4.70623,52.0492425239982,4.27529335026369,0,1,75.8,22,10.8,34,9.1,2,53.1,1.5,4.5,47.2,"2545NW","2545N",1
"2544V","2914",52.0454790140349,4.25995965447312,51.97679,4.621772,1,0,98,35.8,23.4,25,13.8,2,46.8,2.5,7.2,37,"2544WB","2544W",1
"2914","2544V",51.97679,4.621772,52.0454790140349,4.25995965447312,0,1,109.6,25,32.4,26,26.1,4,49.7,1.7,11,37,"2545CG","2545C",1
"2544V","2521",52.0454790140349,4.25995965447312,52.06328,4.318427,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544G","2593",52.0425265562463,4.25954339365026,52.08531,4.342739,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2132",52.0454790140349,4.25995965447312,52.2958,4.70623,1,0,79.8,30.7,15.6,28,5.5,2,44.9,2.1,5.8,37,"2543SW","2543S",1
"2132","2544V",52.2958,4.70623,52.0454790140349,4.25995965447312,0,1,89.9,18.9,24.2,38,8.8,2,44.8,1.3,8,35.4,"2544GA","2544G",1
"2544X","2652",52.0485769204117,4.25873629594925,51.99096,4.460542,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2652","2544X",51.99096,4.460542,52.0485769204117,4.25873629594925,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544T","2564",52.043708831961,4.25562360610011,52.06811,4.258003,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2564","2544T",52.06811,4.258003,52.043708831961,4.25562360610011,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544T","2628",52.043708831961,4.25562360610011,52.00169,4.375679,1,0,57.3,23.9,21,4,8.5,3,13.4,1.5,7.4,4.5,"2545JT","2545J",1
"2628","2544T",52.00169,4.375679,52.043708831961,4.25562360610011,0,1,68.6,24.3,25,7,12.4,3,18.1,1.4,8.3,8.4,"2543BG","2543B",1
"2544J","2132",52.0450156297235,4.25830282422894,52.2958,4.70623,1,0,79.4,19.6,23.4,28,8.4,2,46.3,1.4,7.2,37.6,"2544WB","2544W",1
"2132","2544J",52.2958,4.70623,52.0450156297235,4.25830282422894,0,1,91.2,19.2,25.3,38,8.8,2,45.2,1.4,8.4,35.4,"2543BG","2543B",1
"2132","2543B",52.2958,4.70623,52.0408197781465,4.2614617830182,0,1,90.8,18.7,25.3,38,8.8,2,45.2,1.3,8.4,35.4,"2543BG","2543B",1
"2544M","2591",52.0396112782528,4.25129396965672,52.0935,4.364334,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2591","2544N",52.0935,4.364334,52.0342293799336,4.24498616242454,0,1,57,25.1,16.4,6,9.4,2,12.1,1.8,6.4,4,"2543GB","2543G",1
"2544M","2291",52.0396112782528,4.25129396965672,52.01948,4.277017,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2291","2544M",52.01948,4.277017,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2591","2544M",52.0935,4.364334,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544M","2553",52.0396112782528,4.25129396965672,52.04493,4.221591,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2553","2544M",52.04493,4.221591,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544R","2585",52.0399609296029,4.25012156605765,52.09487,4.296964,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2585","2544R",52.09487,4.296964,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544R","2553",52.0399609296029,4.25012156605765,52.04493,4.221591,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2553","2544R",52.04493,4.221591,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2597","2544R",52.10758,4.313337,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544R","2597",52.0399609296029,4.25012156605765,52.10758,4.313337,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544C","2713",52.0467546104116,4.25338619540227,52.05438,4.484199,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2713","2544C",52.05438,4.484199,52.0467546104116,4.25338619540227,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544H","3316",52.0457978448674,4.26058713725417,51.77033,4.636991,1,0,114.9,31.9,29.2,44,9.8,3,53,2.3,12,38.7,"2545JT","2545J",1
"3316","2544H",51.77033,4.636991,52.0457978448674,4.26058713725417,0,1,99.2,21.3,28.3,42,7.5,3,52.3,1.5,12.1,38.7,"2545JT","2545J",1
"2544H","2548",52.0457978448674,4.26058713725417,52.02944,4.290399,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","1043",52.0454790140349,4.25995965447312,52.38991,4.823093,1,0,97.7,27.5,22.1,45,3.1,1,67.1,2,7.2,57.9,"2544WB","2544W",1
"2543A","1043",52.0434639733693,4.26411809103701,52.38991,4.823093,1,0,100.8,30.7,15.6,46,8.5,1,65.9,2,5.8,58.1,"2543SW","2543S",1
"2544V","2573",52.0454790140349,4.25995965447312,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2573","2544V",52.06537,4.284134,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2552",52.0454790140349,4.25995965447312,52.05459,4.247789,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2552","2544V",52.05459,4.247789,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544C","2628",52.0467546104116,4.25338619540227,52.00169,4.375679,1,0,61.4,28,21,4,8.5,3,13.7,1.8,7.4,4.5,"2545JT","2545J",1
"2628","2544C",52.00169,4.375679,52.0467546104116,4.25338619540227,0,1,72.7,28.4,25,7,12.4,3,18.4,1.7,8.3,8.4,"2543BG","2543B",1
"2544V","2547",52.0454790140349,4.25995965447312,52.06093,4.266762,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2547","2544V",52.06093,4.266762,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2628","2544K",52.00169,4.375679,52.0441502180298,4.25828520254179,0,1,66.8,22.4,25,7,12.4,3,17.9,1.2,8.3,8.4,"2543BG","2543B",1
"2544K","2573",52.0441502180298,4.25828520254179,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2573","2544K",52.06537,4.284134,52.0441502180298,4.25828520254179,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544G","1012",52.0425265562463,4.25954339365026,52.37454,4.896023,1,0,95.2,27.2,15.6,43,9.5,2,67.1,1.8,5.8,59.5,"2543SW","2543S",1
"1012","2544G",52.37454,4.896023,52.0425265562463,4.25954339365026,0,1,100.3,16.9,24,51,8.4,2,70.9,1.1,7.4,62.5,"2543BG","2543B",1
"2544G","2628",52.0425265562463,4.25954339365026,52.00169,4.375679,1,0,53.6,20.1,21,4,8.5,3,13.1,1.2,7.4,4.5,"2545JT","2545J",1
"2628","2544G",52.00169,4.375679,52.0425265562463,4.25954339365026,0,1,65,20.6,25,7,12.4,3,17.8,1.1,8.3,8.4,"2543BG","2543B",1
"2544S","2583",52.0416822739541,4.25091669844794,52.09254,4.256884,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2583","2544S",52.09254,4.256884,52.0416822739541,4.25091669844794,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2533S","2671",52.0553882189754,4.28645029912797,51.99332,4.208966,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2671","2544H",51.99332,4.208966,52.0457978448674,4.26058713725417,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544H","2553",52.0457978448674,4.26058713725417,52.04493,4.221591,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2553","2544H",52.04493,4.221591,52.0457978448674,4.26058713725417,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2665",52.0454790140349,4.25995965447312,52.02257,4.534548,1,0,75.6,21,26.2,17,11.4,3,24.1,1.5,8.5,14.1,"2543AA","2543A",1
"2665","2544V",52.02257,4.534548,52.0454790140349,4.25995965447312,0,1,84.4,21,36.5,14,12.9,3,26.3,1.4,13.6,11.3,"2546AD","2546A",1
"2665","2543B",52.02257,4.534548,52.0408197781465,4.2614617830182,0,1,85.3,20.8,37.6,14,12.9,3,26.7,1.4,14,11.3,"2546AD","2546A",1
"2544M","2512",52.0396112782528,4.25129396965672,52.07346,4.304762,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2512","2544M",52.07346,4.304762,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544M","2628",52.0396112782528,4.25129396965672,52.00169,4.375679,1,0,57.1,21,23.6,4,8.5,3,14,1.3,8.3,4.5,"2545JT","2545J",1
"2628","2544M",52.00169,4.375679,52.0396112782528,4.25129396965672,0,1,69.5,23,27.1,7,12.4,3,18.7,1.3,9.1,8.4,"2544RM","2544R",1
"2544M","2552",52.0396112782528,4.25129396965672,52.05459,4.247789,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2552","2544M",52.05459,4.247789,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2545D","2625",52.0447612674383,4.27041304165943,51.99161,4.339376,1,0,65.9,27.3,22.2,7,9.4,2,17.3,1.7,9.3,6.3,"2532CP","2532C",1
"2625","2545D",51.99161,4.339376,52.0447612674383,4.27041304165943,0,1,60,27.8,15.6,7,9.6,3,14,1.8,5.8,6.3,"2532CP","2532C",1
"2545D","2681",52.0447612674383,4.27041304165943,52.03159,4.185465,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2681","2545D",52.03159,4.185465,52.0447612674383,4.27041304165943,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2545D","2572",52.0447612674383,4.27041304165943,52.06443,4.29356,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2572","2545D",52.06443,4.29356,52.0447612674383,4.27041304165943,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2545D","2742",52.0447612674383,4.27041304165943,52.0448,4.625176,1,0,111.8,42.8,21.3,26,21.8,3,45.1,3.1,6,35.9,"2545KB","2545K",1
"2742","2545D",52.0448,4.625176,52.0447612674383,4.27041304165943,0,1,95.8,43.9,42.8,2,7.1,2,34.3,3.3,29.4,1.7,"2545NW","2545N",1
"2544S","2914",52.0416822739541,4.25091669844794,51.97679,4.621772,1,0,94.8,31.1,24.9,25,13.8,2,46.9,2.2,7.8,37,"2544CM","2544C",1
"2914","2544S",51.97679,4.621772,52.0416822739541,4.25091669844794,0,1,113,14.3,59.1,27,12.6,3,50,1,21.1,28,"2544CX","2544C",1
"2544X","2713",52.0485769204117,4.25873629594925,52.05438,4.484199,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2713","2544X",52.05438,4.484199,52.0485769204117,4.25873629594925,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","3011",52.0485769204117,4.25873629594925,51.91868,4.487522,1,0,62.6,23,14.1,23,2.5,1,26.7,1.7,4.5,20.5,"2545GN","2545G",1
"3011","2544X",51.91868,4.487522,52.0485769204117,4.25873629594925,0,1,71.6,35.7,7.4,26,2.4,1,27.6,2.6,2.7,22.3,"2532CP","2532C",1
"2544X","2573",52.0485769204117,4.25873629594925,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2573","2544X",52.06537,4.284134,52.0485769204117,4.25873629594925,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2543B","2628",52.0408197781465,4.2614617830182,52.00169,4.375679,1,0,56.6,20.4,21.6,4,10.5,3,13.4,1.2,7.6,4.5,"2545JT","2545J",1
"2544R","2552",52.0399609296029,4.25012156605765,52.05459,4.247789,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2552","2544R",52.05459,4.247789,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","5171",52.0485769204117,4.25873629594925,51.65595,5.047381,1,0,174.6,39.3,39,64,32.3,3,111.1,2.9,19,89.1,"2544WB","2544W",1
"5171","2544X",51.65595,5.047381,52.0485769204117,4.25873629594925,0,1,159.3,51.3,37.3,57,13.6,3,113.1,3.6,19.7,89.8,"2544GA","2544G",1
"2544T","2353",52.043708831961,4.25562360610011,52.16652,4.53855,1,0,77.2,23.8,34.4,12,6.9,2,28.5,1.7,11.6,15.2,"2544WB","2544W",1
"2353","2544T",52.16652,4.53855,52.043708831961,4.25562360610011,0,1,80.7,26.9,38.8,10,5,2,30,1.9,14.4,13.7,"2544CX","2544C",1
"2542J","2628",52.0385335010829,4.25810585554739,52.00169,4.375679,1,0,57.4,22.5,22.4,4,8.5,3,13.8,1.4,7.9,4.5,"2545JT","2545J",1
"2543A","2628",52.0434639733693,4.26411809103701,52.00169,4.375679,1,0,53.9,21.2,20.2,4,8.5,3,12.9,1.3,7.2,4.5,"2545JT","2545J",1
"2544K","2713",52.0441502180298,4.25828520254179,52.05438,4.484199,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2713","2544K",52.05438,4.484199,52.0441502180298,4.25828520254179,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2564",52.0454790140349,4.25995965447312,52.06811,4.258003,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2564","2544V",52.06811,4.258003,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544C","2548",52.0467546104116,4.25338619540227,52.02944,4.290399,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2548","2544C",52.02944,4.290399,52.0467546104116,4.25338619540227,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2291","2543B",52.01948,4.277017,52.0408197781465,4.2614617830182,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2291","2545H",52.01948,4.277017,52.0436878110164,4.28273156391466,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544R","2583",52.0399609296029,4.25012156605765,52.09254,4.256884,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2583","2544R",52.09254,4.256884,52.0399609296029,4.25012156605765,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","2552",52.0485769204117,4.25873629594925,52.05459,4.247789,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2552","2544X",52.05459,4.247789,52.0485769204117,4.25873629594925,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2548",52.0454790140349,4.25995965447312,52.02944,4.290399,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2548","2544V",52.02944,4.290399,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544C","2517",52.0467546104116,4.25338619540227,52.08726,4.285609,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2517","2544C",52.08726,4.285609,52.0467546104116,4.25338619540227,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2591",52.0454790140349,4.25995965447312,52.0935,4.364334,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2591","2544V",52.0935,4.364334,52.0454790140349,4.25995965447312,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544S","2585",52.0416822739541,4.25091669844794,52.09487,4.296964,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2585","2544S",52.09487,4.296964,52.0416822739541,4.25091669844794,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2585","2544G",52.09487,4.296964,52.0425265562463,4.25954339365026,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544S","2353",52.0416822739541,4.25091669844794,52.16652,4.53855,1,0,76.9,22,35.9,12,6.9,2,28.9,1.5,12.2,15.2,"2544CM","2544C",1
"2353","2545G",52.16652,4.53855,52.0492425239982,4.27529335026369,0,1,67.4,26.4,22.8,12,6.3,2,26.1,1.8,8.9,15.4,"2545NW","2545N",1
"2544M","2525",52.0396112782528,4.25129396965672,52.06238,4.303305,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2544M",52.06238,4.303305,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544C","2525",52.0467546104116,4.25338619540227,52.06238,4.303305,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2544C",52.06238,4.303305,52.0467546104116,4.25338619540227,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544V","2628",52.0454790140349,4.25995965447312,52.00169,4.375679,1,0,54.2,21.6,20.2,4,8.5,3,13,1.3,7.2,4.5,"2545JT","2545J",1
"2628","2544V",52.00169,4.375679,52.0454790140349,4.25995965447312,0,1,67.2,24,23.9,7,12.4,3,17.6,1.3,7.9,8.4,"2544GA","2544G",1
"2544T","3061",52.043708831961,4.25562360610011,51.92704,4.504965,1,0,71.7,19.6,18.8,23,10.4,3,28.4,1.1,6.7,20.5,"2545JT","2545J",1
"3061","2544T",51.92704,4.504965,52.043708831961,4.25562360610011,0,1,77.6,20.2,17.1,26,14.3,3,30.3,1.1,6.9,22.3,"2532CP","2532C",1
"2542J","2593",52.0385335010829,4.25810585554739,52.08531,4.342739,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2593","2542J",52.08531,4.342739,52.0385335010829,4.25810585554739,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542J","2284",52.0385335010829,4.25810585554739,52.04115,4.313038,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2553","2544K",52.04493,4.221591,52.0441502180298,4.25828520254179,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","2284",52.0485769204117,4.25873629594925,52.04115,4.313038,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2284","2544X",52.04115,4.313038,52.0485769204117,4.25873629594925,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544X","2553",52.0485769204117,4.25873629594925,52.04493,4.221591,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
